frame,ID,X,Y,Class,Color,Position
204,0,614,640,Ball,white,Ball
210,6,567,353,Player,blue,Defense
210,12,597,660,Player,white,Attack
210,41,685,421,Player,white,Attack
210,43,545,529,Player,blue,Defense
210,53,634,535,Player,white,Attack
210,72,619,602,Player,blue,Defense
210,84,518,610,Player,blue,Defense
210,103,613,504,Player,blue,Defense
210,104,631,292,Player,blue,Defense
210,106,682,198,Player,white,Attack
210,111,692,341,Player,blue,Defense
210,118,686,441,Player,white,Attack
210,153,598,539,Player,blue,Defense
210,0,644,594,Ball,white,Ball
216,6,578,351,Player,blue,Defense
216,12,597,658,Player,white,Attack
216,41,699,455,Player,white,Attack
216,43,554,532,Player,blue,Defense
